"genus_species","genus","family","class","order","kingdom","db","db_code","female_maturity_d","litter_or_clutch_size_n","litters_or_clutches_per_y","adult_body_mass_g","maximum_longevity_y","gestation_d","weaning_d","longevity_y","male_maturity_d","female_body_mass_g","male_body_mass_g","unsexed_body_mass_g","female_body_mass_at_maturity_g","growth_rate","unk_body_mass_g","wing_length_mm","trophic_level","trophic_niche","min_latitude_deg","max_latitude_deg","range_size_km2","body_length_mm","qualitative_body_size","trophic_guild","population_density_n_per_ha","male_wing_length_mm","female_wing_length_mm","unsexed_wing_length_mm","unsexed_body_length_cm","mean_unsexed_wing_length_mm","mean_male_wing_length_mm","mean_female_wing_length_mm","litter_or_clutch_size_n_min","litter_or_clutch_size_n_max","litter_or_clutch_size_n_mean","maturity_d","median_dispersal_distance_km","maximum_dispersal_distance_km","primary_source"
"Tharyx acutus","Tharyx","Cirratulidae","Polychaeta",NA,"Animalia","gbif","GBIF:2323964",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Oxyurostylis smithi","Oxyurostylis","Diastylidae","Malacostraca","Cumacea","Animalia","gbif","GBIF:2214592",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Ilyanassa trivittata","Ilyanassa","Nassariidae","Gastropoda","Neogastropoda","Animalia","gbif","GBIF:2303000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Callinectes sapidus","Callinectes","Portunidae","Malacostraca","Decapoda","Animalia","gbif","GBIF:2225646",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157.5,"2.0 - 200 mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Penaeus aztecus","Penaeus","Penaeidae","Malacostraca","Decapoda","Animalia","gbif","GBIF:2223840",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.0 - 200 mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Zanclea costata","Zanclea","Zancleidae","Hydrozoa","Anthoathecata","Animalia","gbif","GBIF:5185552",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.0 - 200 mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Callinectes similis","Callinectes","Portunidae","Malacostraca","Decapoda","Animalia","gbif","GBIF:2225642",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.0 - 200 mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Stramonita haemastoma","Stramonita","Muricidae","Gastropoda","Neogastropoda","Animalia","gbif","GBIF:2304357",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Oncorhynchus keta","Oncorhynchus","Salmonidae","Actinopterygii","Salmoniformes","Animalia","gbif","GBIF:5204014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Sebastes alutus","Sebastes","Sebastidae","Actinopterygii","Scorpaeniformes","Animalia","gbif","GBIF:2335557",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Sebastes borealis","Sebastes","Sebastidae","Actinopterygii","Scorpaeniformes","Animalia","gbif","GBIF:2335471",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Atheresthes stomias","Atheresthes","Pleuronectidae","Actinopterygii","Pleuronectiformes","Animalia","gbif","GBIF:2409091",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,670,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Fulmarus glacialis","Fulmarus","Procellariidae","Aves","Procellariiformes","Animalia","gbif","GBIF:2481433",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Anoplopoma fimbria","Anoplopoma","Anoplopomatidae","Actinopterygii","Scorpaeniformes","Animalia","gbif","GBIF:2335062",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Gadus macrocephalus","Gadus","Gadidae","Actinopterygii","Gadiformes","Animalia","gbif","GBIF:2415853",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Hippoglossus stenolepis","Hippoglossus","Pleuronectidae","Actinopterygii","Pleuronectiformes","Animalia","gbif","GBIF:2409216",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Hydrolagus colliei","Hydrolagus","Chimaeridae","Holocephali","Chimaeriformes","Animalia","gbif","GBIF:5215461",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Microstomus pacificus","Microstomus","Pleuronectidae","Actinopterygii","Pleuronectiformes","Animalia","gbif","GBIF:5214028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Ophiodon elongatus","Ophiodon","Hexagrammidae","Actinopterygii","Scorpaeniformes","Animalia","gbif","GBIF:2336521",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Sebastes babcocki","Sebastes","Sebastidae","Actinopterygii","Scorpaeniformes","Animalia","gbif","GBIF:2335374",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Sebastes ruberrimus","Sebastes","Sebastidae","Actinopterygii","Scorpaeniformes","Animalia","gbif","GBIF:2335415",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Sebastolobus alascanus","Sebastolobus","Sebastidae","Actinopterygii","Scorpaeniformes","Animalia","gbif","GBIF:2335323",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Chionoecetes bairdi","Chionoecetes","Oregoniidae","Malacostraca","Decapoda","Animalia","gbif","GBIF:2226642",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.0 - 200 mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Sebastes polyspinis","Sebastes","Sebastidae","Actinopterygii","Scorpaeniformes","Animalia","gbif","GBIF:2335506",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Larus argentatus","Larus","Laridae","Aves","Charadriiformes","Animalia","gbif","GBIF:2481139",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Albatrossia pectoralis","Albatrossia","Macrouridae","Actinopterygii","Gadiformes","Animalia","gbif","GBIF:5215154",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Sebastes proriger","Sebastes","Sebastidae","Actinopterygii","Scorpaeniformes","Animalia","gbif","GBIF:2335489",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Glyptocephalus zachirus","Glyptocephalus","Pleuronectidae","Actinopterygii","Pleuronectiformes","Animalia","gbif","GBIF:5214001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Raja rhina","Raja","Rajidae","Elasmobranchii","Rajiformes","Animalia","gbif","GBIF:5216020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Hippoglossoides elassodon","Hippoglossoides","Pleuronectidae","Actinopterygii","Pleuronectiformes","Animalia","gbif","GBIF:2409109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Limanda aspera","Limanda","Pleuronectidae","Actinopterygii","Pleuronectiformes","Animalia","gbif","GBIF:5213950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,412.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Thaleichthys pacificus","Thaleichthys","Osmeridae","Actinopterygii","Osmeriformes","Animalia","gbif","GBIF:2410903",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Chionoecetes hybrid","Chionoecetes",NA,NA,NA,"Animalia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.0 - 200 mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Pleuronectes quadrituberculatus","Pleuronectes","Pleuronectidae","Actinopterygii","Pleuronectiformes","Animalia","gbif","GBIF:5213974",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Paralithodes platypus","Paralithodes","Lithodidae","Malacostraca","Decapoda","Animalia","gbif","GBIF:2224357",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.0 - 200 mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Lepidopsetta bilineata","Lepidopsetta","Pleuronectidae","Actinopterygii","Pleuronectiformes","Animalia","gbif","GBIF:5213939",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Erimacrus isenbeckii","Erimacrus","Cheiragonidae","Malacostraca","Decapoda","Animalia","gbif","GBIF:2222059",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.0 - 200 mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Hyas lyratus","Hyas","Oregoniidae","Malacostraca","Decapoda","Animalia","gbif","GBIF:5178708",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.0 - 200 mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Platichthys stellatus","Platichthys","Pleuronectidae","Actinopterygii","Pleuronectiformes","Animalia","gbif","GBIF:2409327",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,742.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Hemilepidotus jordani","Hemilepidotus","Cottidae","Actinopterygii","Scorpaeniformes","Animalia","gbif","GBIF:2333945",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Eopsetta jordani","Eopsetta","Pleuronectidae","Actinopterygii","Pleuronectiformes","Animalia","gbif","GBIF:2409237",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,551.666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Myoxocephalus polyacanthocephalus","Myoxocephalus","Cottidae","Actinopterygii","Scorpaeniformes","Animalia","gbif","GBIF:2333818",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Hippoglossoides robustus","Hippoglossoides","Pleuronectidae","Actinopterygii","Pleuronectiformes","Animalia","gbif","GBIF:2409099",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Hemitripterus bolini","Hemitripterus","Hemitripteridae","Actinopterygii","Scorpaeniformes","Animalia","gbif","GBIF:2335114",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Lycodes palearis","Lycodes","Zoarcidae","Actinopterygii","Perciformes","Animalia","gbif","GBIF:5209395",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Pleurogrammus monopterygius","Pleurogrammus","Hexagrammidae","Actinopterygii","Scorpaeniformes","Animalia","gbif","GBIF:2336515",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Rissa tridactyla","Rissa","Laridae","Aves","Charadriiformes","Animalia","gbif","GBIF:2481205",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Larus glaucescens","Larus","Laridae","Aves","Charadriiformes","Animalia","gbif","GBIF:2481196",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
"Sebastes variegatus","Sebastes","Sebastidae","Actinopterygii","Scorpaeniformes","Animalia","gbif","GBIF:2335412",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BioTIME_BodySize-0.1.1"
