reported_name,reported_name_fixed,scientificName,kingdom,phylum,class,order,family,db,db_code,ObservationType,Source,Field,DispersalDistance,Code,Database,Unit,Sex,Study duration (days),Comments
Barbus barbus,Barbus barbus,Barbus barbus,Animalia,Chordata,NA,Cypriniformes,Cyprinidae,gbif,GBIF:5739539,radio-tracking,Lucas & Batley 1996,Mean_dispersal_distance_(m),7696.92,MeanDispersalDistance,Comte & Olden,m,NA,30,study duration is species-specific based on tracking or mark-recapture; STUDY DURATION IS MEAN TIME BETWEEN SIGHTINGS
Barbus barbus,Barbus barbus,Barbus barbus,Animalia,Chordata,NA,Cypriniformes,Cyprinidae,gbif,GBIF:5739539,radio-tracking,Lucas & Batley 1996,Mean_dispersal_distance_(m),8483.64,MeanDispersalDistance,Comte & Olden,m,NA,30,study duration is species-specific based on tracking or mark-recapture; STUDY DURATION IS MEAN TIME BETWEEN SIGHTINGS
Barbus haasi,Barbus haasi,Barbus haasi,Animalia,Chordata,NA,Cypriniformes,Cyprinidae,gbif,GBIF:5207307,mark-release-recapture,Aparicio & De Sostoa 1999,Mean_dispersal_distance_(m),15.8,MeanDispersalDistance,Comte & Olden,m,NA,122,study duration is species-specific based on tracking or mark-recapture; STUDY DURATION IS MEAN TIME BETWEEN SIGHTINGS
Barbus haasi,Barbus haasi,Barbus haasi,Animalia,Chordata,NA,Cypriniformes,Cyprinidae,gbif,GBIF:5207307,mark-release-recapture,Aparicio & De Sostoa 1999,Mean_dispersal_distance_(m),25.3,MeanDispersalDistance,Comte & Olden,m,NA,122,study duration is species-specific based on tracking or mark-recapture; STUDY DURATION IS MEAN TIME BETWEEN SIGHTINGS
Barbus haasi,Barbus haasi,Barbus haasi,Animalia,Chordata,NA,Cypriniformes,Cyprinidae,gbif,GBIF:5207307,mark-release-recapture,Aparicio & De Sostoa 1999,Mean_dispersal_distance_(m),36.1,MeanDispersalDistance,Comte & Olden,m,NA,122,study duration is species-specific based on tracking or mark-recapture; STUDY DURATION IS MEAN TIME BETWEEN SIGHTINGS
Brycon orbignyanus,Brycon orbignyanus,Brycon orbignyanus,Animalia,Chordata,NA,Characiformes,Bryconidae,gbif,GBIF:2353463,mark-release-recapture,Makrakis et al. 2012,Mean_dispersal_distance_(m),7500,MeanDispersalDistance,Comte & Olden,m,NA,166,study duration is species-specific based on tracking or mark-recapture; STUDY DURATION IS MEAN TIME BETWEEN SIGHTINGS
Catostomus clarkii,Catostomus clarkii,Catostomus clarkii,Animalia,Chordata,NA,Cypriniformes,Catostomidae,gbif,GBIF:2359050,radio-tracking,Booth et al. 2014,Mean_dispersal_distance_(m),188,MeanDispersalDistance,Comte & Olden,m,NA,6.25,study duration is species-specific based on tracking or mark-recapture; STUDY DURATION IS MEAN TIME BETWEEN SIGHTINGS
Catostomus clarkii,Catostomus clarkii,Catostomus clarkii,Animalia,Chordata,NA,Cypriniformes,Catostomidae,gbif,GBIF:2359050,radio-tracking,Booth et al. 2014,Mean_dispersal_distance_(m),257,MeanDispersalDistance,Comte & Olden,m,NA,6.89,study duration is species-specific based on tracking or mark-recapture; STUDY DURATION IS MEAN TIME BETWEEN SIGHTINGS
Catostomus clarkii,Catostomus clarkii,Catostomus clarkii,Animalia,Chordata,NA,Cypriniformes,Catostomidae,gbif,GBIF:2359050,radio-tracking,Booth et al. 2014,Mean_dispersal_distance_(m),411,MeanDispersalDistance,Comte & Olden,m,NA,6,study duration is species-specific based on tracking or mark-recapture; STUDY DURATION IS MEAN TIME BETWEEN SIGHTINGS
Catostomus commersonii,Catostomus commersonii,Catostomus commersonii,Animalia,Chordata,NA,Cypriniformes,Catostomidae,gbif,GBIF:2359014,radio-tracking,Brown et al. 2001,Mean_dispersal_distance_(m),65.15,MeanDispersalDistance,Comte & Olden,m,NA,7,study duration is species-specific based on tracking or mark-recapture; STUDY DURATION IS MEAN TIME BETWEEN SIGHTINGS
