"reported_name","reported_name_fixed","scientificName","kingdom","phylum","class","order","family","db","db_code","ObservationTypeSpecific","Source","Field","DispersalDistance","Code","Database","Unit","Sex","ObservationTypeGeneral"
"Pseudotsuga menziesii","Pseudotsuga menziesii","Pseudotsuga menziesii","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:2685796","seed dispersal (field)","Greene & Johnson 1995 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)","800","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Tsuga canadensis","Tsuga canadensis","Tsuga canadensis","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:2687182","seed dispersal (field)","Greene & Johnson 1995 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)","1600","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Carex pilulifera","Carex pilulifera","Carex pilulifera","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","gbif","GBIF:2726614","seed dispersal (field)","Kjellsson 1985","Maximum_recorded_dispersal_distance_(m)","1.4","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Prunus avium","Prunus avium","Prunus avium","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","gbif","GBIF:3020791","seed dispersal (model)","Breitbach et al. 2012","Maximum_recorded_dispersal_distance_(m)","2220","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Quercus petraea","Quercus petraea","Quercus petraea","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","gbif","GBIF:2880130","seed dispersal (field)","Kollmann & Schill 1996","Maximum_recorded_dispersal_distance_(m)","300","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Artemisia herba-alba","Artemisia herba-alba","Artemisia herba-alba","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3120848","seed dispersal (field)","Friedman & Orshan 1975","Maximum_recorded_dispersal_distance_(m)","0.8","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Acer rubrum","Acer rubrum","Acer rubrum","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","gbif","GBIF:3189883","seed dispersal (field)","Higgins et al. 2003","Maximum_recorded_dispersal_distance_(m)","11371","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Anthoxanthum odoratum","Anthoxanthum odoratum","Anthoxanthum odoratum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:2705975","seed dispersal (field)","Antonovics & Ellstrand 1985 in Willson 1993","Maximum_recorded_dispersal_distance_(m)","2","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Carya glabra","Carya glabra","Carya glabra","Plantae","Tracheophyta","Magnoliopsida","Fagales","Juglandaceae","gbif","GBIF:3054325","seed dispersal (field)","Higgins et al. 2003","Maximum_recorded_dispersal_distance_(m)","646.8","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Geranium maculatum","Geranium maculatum","Geranium maculatum","Plantae","Tracheophyta","Magnoliopsida","Geraniales","Geraniaceae","gbif","GBIF:7808016","seed dispersal (model)","Willson & Agren unpublished in Willson 1993","Maximum_recorded_dispersal_distance_(m)","6.2","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Senecio jacobaea","Senecio jacobaea","Senecio jacobaea","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:8965572","seed dispersal (field)","Poole & Cairns in Harper 1977 in Cain et al. 1998, McEvoy & Cox 1987 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)","14","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Verbascum thapsus","Verbascum thapsus","Verbascum thapsus","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Scrophulariaceae","gbif","GBIF:3171949","seed dispersal (field)","Salisbury in Harper 1977 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)","13","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
