"reported_name","reported_name_fixed","scientificName","kingdom","phylum","class","order","family","db","db_code","ObservationType","Source","Field","DispersalDistance","Code","Database","Unit","Sex"
"Esox lucius","Esox lucius","Esox lucius","Animalia","Chordata","Actinopterygii","Esociformes","Esocidae","gbif","GBIF:2346633","Radio-tracking","Koed et al. 2006","Mean_dispersal_distance_(m)","151.66","MeanDispersalDistance","Comte & Olden","m",NA
"Esox lucius","Esox lucius","Esox lucius","Animalia","Chordata","Actinopterygii","Esociformes","Esocidae","gbif","GBIF:2346633","Radio-tracking","Vehanen et al. 2006","Mean_dispersal_distance_(m)","155.5","MeanDispersalDistance","Comte & Olden","m",NA
"Esox lucius","Esox lucius","Esox lucius","Animalia","Chordata","Actinopterygii","Esociformes","Esocidae","gbif","GBIF:2346633","Radio-tracking","Vehanen et al. 2006","Mean_dispersal_distance_(m)","303","MeanDispersalDistance","Comte & Olden","m",NA
"Esox lucius","Esox lucius","Esox lucius","Animalia","Chordata","Actinopterygii","Esociformes","Esocidae","gbif","GBIF:2346633","Radio-tracking","Vehanen et al. 2006","Mean_dispersal_distance_(m)","452.7","MeanDispersalDistance","Comte & Olden","m",NA
"Esox lucius","Esox lucius","Esox lucius","Animalia","Chordata","Actinopterygii","Esociformes","Esocidae","gbif","GBIF:2346633","Radio-tracking","Koed et al. 2006","Mean_dispersal_distance_(m)","638.29","MeanDispersalDistance","Comte & Olden","m",NA
"Esox lucius","Esox lucius","Esox lucius","Animalia","Chordata","Actinopterygii","Esociformes","Esocidae","gbif","GBIF:2346633","Radio-tracking","Vehanen et al. 2006","Mean_dispersal_distance_(m)","662.3","MeanDispersalDistance","Comte & Olden","m",NA
"Esox lucius","Esox lucius","Esox lucius","Animalia","Chordata","Actinopterygii","Esociformes","Esocidae","gbif","GBIF:2346633","Radio-tracking","Donnelly et al. 1998","Mean_dispersal_distance_(m)","1165.6","MeanDispersalDistance","Comte & Olden","m",NA
"Esox lucius","Esox lucius","Esox lucius","Animalia","Chordata","Actinopterygii","Esociformes","Esocidae","gbif","GBIF:2346633","Radio-tracking","Pauwels et al. 2014","Mean_dispersal_distance_(m)","3474.3","MeanDispersalDistance","Comte & Olden","m",NA
"Etheostoma nigrum","Etheostoma nigrum","Etheostoma nigrum","Animalia","Chordata","Actinopterygii","Perciformes","Percidae","gbif","GBIF:2382319","Mark-Recapture","Mundahl & Ingersoll 1983","Mean_dispersal_distance_(m)","55","MeanDispersalDistance","Comte & Olden","m",NA
"Gobio gobio","Gobio gobio","Gobio gobio","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","gbif","GBIF:4409628","Mark-Recapture","Stott 1967","Mean_dispersal_distance_(m)","276.73","MeanDispersalDistance","Comte & Olden","m",NA
"Gobio gobio","Gobio gobio","Gobio gobio","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","gbif","GBIF:4409628","Mark-Recapture","Stott 1967","Mean_dispersal_distance_(m)","413.15","MeanDispersalDistance","Comte & Olden","m",NA
"Lepomis cyanellus","Lepomis cyanellus","Lepomis cyanellus","Animalia","Chordata","Actinopterygii","Perciformes","Centrarchidae","gbif","GBIF:2394494","Mark-Recapture","Funk 1957","Mean_dispersal_distance_(m)","3050.5","MeanDispersalDistance","Comte & Olden","m",NA
"Lepomis macrochirus","Lepomis macrochirus","Lepomis macrochirus","Animalia","Chordata","Actinopterygii","Perciformes","Centrarchidae","gbif","GBIF:2394503","Mark-Recapture","Gatz & Adams 1994","Mean_dispersal_distance_(m)","139.55","MeanDispersalDistance","Comte & Olden","m",NA
"Lepomis macrochirus","Lepomis macrochirus","Lepomis macrochirus","Animalia","Chordata","Actinopterygii","Perciformes","Centrarchidae","gbif","GBIF:2394503","Mark-Recapture","Gatz & Adams 1994","Mean_dispersal_distance_(m)","282.2","MeanDispersalDistance","Comte & Olden","m",NA
