"reported_name","reported_name_fixed","scientificName","kingdom","phylum","class","order","family","db","db_code","ObservationTypeSpecific","Source","Field","DispersalDistance","Code","Database","Unit","Sex","ObservationTypeGeneral"
"Lithocarpus harlandii","Lithocarpus harlandii","Lithocarpus harlandii","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","gbif","GBIF:5332445","seed dispersal (field)","Xiao et al. 2005","Maximum_recorded_dispersal_distance_(m)","35","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Quercus serrata","Quercus serrata","Quercus serrata","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","gbif","GBIF:2879649","seed dispersal (field)","Xiao et al. 2004","Maximum_recorded_dispersal_distance_(m)","28.5","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Quercus variabilis","Quercus variabilis","Quercus variabilis","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","gbif","GBIF:2879787","seed dispersal (field)","Xiao et al. 2005","Maximum_recorded_dispersal_distance_(m)","35","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Ficus sphenophylla","Ficus sphenophylla","Ficus sphenophylla","Plantae","Tracheophyta","Magnoliopsida","Rosales","Moraceae","gbif","GBIF:5570374","seed dispersal (field)","Yumoto 1999","Maximum_recorded_dispersal_distance_(m)","451","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Achyranthes aspera","Achyranthes aspera","Achyranthes aspera","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","gbif","GBIF:3085168","seed dispersal (field)","Bullock & Primack 1977","Maximum_recorded_dispersal_distance_(m)","2500","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Andira inermis","Andira inermis","Andira inermis","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:2952214","seed dispersal (field)","Janzen et al. 1976","Maximum_recorded_dispersal_distance_(m)","207","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Beilschmiedia pendula","Beilschmiedia pendula","Beilschmiedia pendula","Plantae","Tracheophyta","Magnoliopsida","Laurales","Lauraceae","gbif","GBIF:3034073","seed dispersal (field)","Wenny 2000a","Maximum_recorded_dispersal_distance_(m)","70","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Bidens sp.","Bidens sp.",NA,NA,NA,NA,NA,NA,NA,NA,"seed dispersal (field)","Bullock & Primack 1977","Maximum_recorded_dispersal_distance_(m)","250","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Calathea lutea","Calathea lutea","Calathea lutea","Plantae","Tracheophyta","Liliopsida","Zingiberales","Marantaceae","gbif","GBIF:2761987","seed dispersal (field)","Horvitz 1991 in Ness et al. 2004","Maximum_recorded_dispersal_distance_(m)","0.73","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Calathea marantifolia","Calathea marantifolia","Goeppertia marantifolia","Plantae","Tracheophyta","Liliopsida","Zingiberales","Marantaceae","gbif","GBIF:9538544","seed dispersal (field)","Horvitz 1991 in Ness et al. 2004","Maximum_recorded_dispersal_distance_(m)","0.41","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Casearia corymbosa","Casearia corymbosa","Casearia corymbosa","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Salicaceae","gbif","GBIF:5603969","seed dispersal (field)","Howe 1977","Maximum_recorded_dispersal_distance_(m)","200","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
