"Code","Species","MaxDispersalDistanceKm","Genus","Hemisphere","Ecosystem","Gradient","Position","ShiftR","EleVeloT","LatVeloT","Unit","BaselineT","HFI","PrAb","Sampling","Grain","Signif","Quality","Ntaxa","Start","Area","LifeForm","Reference","Source","n_cl","n_sp","StartF","AreaF","NtaxaF","IDn","corrected_shift","kingdom","phylum","class","order","family","Group","LifeSpanYears","AgeAtMaturityDays","YearOfMaturity","MaxDispersalPotentialKmY","MaxDispersalPotentialmY","MaxDispersalDistancem","lag","raw_lag","expect_tracking","expected_lag","annual_dispersal_pot","climate_velocity"
"MaxDispersalDistance","Gymnorhinus cyanocephalus",640,"Gymnorhinus","North","Terrestrial","Latitudinal","Centroid",-2.81,NA,1.019699697,"km/year",10.95786,0.16097585847532,"ABUND","MULT","COARSE","YES","LOW",254,1975,6.72705177088108,"endo",10,"A10_P1",110,1801,"(1.97e+03,1.98e+03]","(62.4,1.23e+04]","(99,254]",110,-0.5438184645505,"Animalia","Chordata","Aves","Passeriformes","Corvidae","Birds",14.6,NA,NA,43.8356164383562,43835.6164383562,640000,-1.5635181615505,-3.829699697,"Yes",42.8159167413562,43.8356164383562,1.019699697
"MaxDispersalDistance","Troglodytes troglodytes",38.3,"Troglodytes","North","Terrestrial","Latitudinal","Centroid",1.8,NA,1.019699697,"km/year",10.95786,0.16097585847532,"ABUND","MULT","COARSE","YES","LOW",254,1975,6.72705177088108,"endo",10,"A10_P1",114,1789,"(1.97e+03,1.98e+03]","(62.4,1.23e+04]","(99,254]",114,0.300041412233787,"Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Birds",7,NA,NA,5.47142857142857,5471.42857142857,38300,-0.719658284766213,0.780300303,"Yes",4.45172887442857,5.47142857142857,1.019699697
"MaxDispersalDistance","Toxostoma curvirostre",30,"Toxostoma","North","Terrestrial","Latitudinal","Centroid",3.91,NA,1.019699697,"km/year",10.95786,0.16097585847532,"ABUND","MULT","COARSE","YES","LOW",254,1975,6.72705177088108,"endo",10,"A10_P1",130,2511,"(1.97e+03,1.98e+03]","(62.4,1.23e+04]","(99,254]",130,1.1001528232485,"Animalia","Chordata","Aves","Passeriformes","Mimidae","Birds",10.8,NA,NA,2.77777777777778,2777.77777777778,30000,0.0804531262485,2.890300303,"Yes",1.75807808077778,2.77777777777778,1.019699697
"MaxDispersalDistance","Tachycineta bicolor",6.4,"Tachycineta","North","Terrestrial","Latitudinal","Centroid",2.47,NA,1.019699697,"km/year",10.95786,0.16097585847532,"ABUND","MULT","COARSE","YES","LOW",254,1975,6.72705177088108,"endo",10,"A10_P1",142,1873,"(1.97e+03,1.98e+03]","(62.4,1.23e+04]","(99,254]",142,1.61391265862752,"Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Birds",12.1,NA,NA,0.528925619834711,528.925619834711,6400,0.59421296162752,1.450300303,"No",-0.490774077165289,0.528925619834711,1.019699697
"MaxDispersalDistance","Zonotrichia leucophrys",2.6,"Zonotrichia","North","Terrestrial","Latitudinal","Centroid",1.29,NA,1.019699697,"km/year",10.95786,0.16097585847532,"ABUND","MULT","COARSE","YES","LOW",254,1975,6.72705177088108,"endo",10,"A10_P1",160,2541,"(1.97e+03,1.98e+03]","(62.4,1.23e+04]","(99,254]",160,0.0824015895745224,"Animalia","Chordata","Aves","Passeriformes","Emberizidae","Birds",13.34,NA,NA,0.194902548725637,194.902548725637,2600,-0.937298107425478,0.270300303,"No",-0.824797148274363,0.194902548725637,1.019699697
"MaxDispersalDistance","Tachycineta bicolor",6.4,"Tachycineta","North","Terrestrial","Latitudinal","Centroid",4.04,NA,1.019699697,"km/year",10.95786,0.16097585847532,"ABUND","MULT","COARSE","YES","LOW",254,1975,6.72705177088108,"endo",10,"A10_P1",171,1944,"(1.97e+03,1.98e+03]","(62.4,1.23e+04]","(99,254]",171,2.16338192666497,"Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Birds",12.1,NA,NA,0.528925619834711,528.925619834711,6400,1.14368222966497,3.020300303,"No",-0.490774077165289,0.528925619834711,1.019699697
"MaxDispersalDistance","Molothrus ater",40,"Molothrus","North","Terrestrial","Latitudinal","Leading edge",5.58,NA,1.019699697,"km/year",10.95786,0.16097585847532,"ABUND","MULT","COARSE","YES","LOW",254,1975,6.72705177088108,"endo",10,"A10_P1",177,1950,"(1.97e+03,1.98e+03]","(62.4,1.23e+04]","(99,254]",177,1.061267482315,"Animalia","Chordata","Aves","Passeriformes","Icteridae","Birds",16.91666667,NA,NA,2.36453201923852,2364.53201923852,40000,0.0415677853149998,4.560300303,"Yes",1.34483232223852,2.36453201923852,1.019699697
"MaxDispersalDistance","Picoides borealis",90,"Picoides","North","Terrestrial","Latitudinal","Leading edge",-4.9,NA,1.019699697,"km/year",10.95786,0.16097585847532,"ABUND","MULT","COARSE","YES","LOW",254,1975,6.72705177088108,"endo",10,"A10_P1",179,2681,"(1.97e+03,1.98e+03]","(62.4,1.23e+04]","(99,254]",179,-1.31322645775122,"Animalia","Chordata","Aves","Piciformes","Picidae","Birds",16.1,NA,NA,5.59006211180124,5590.06211180124,90000,-2.33292615475122,-5.919699697,"Yes",4.57036241480124,5.59006211180124,1.019699697
"MaxDispersalDistance","Aix sponsa",3.8,"Aix","North","Terrestrial","Latitudinal","Centroid",1.64,NA,1.019699697,"km/year",10.95786,0.16097585847532,"ABUND","MULT","COARSE","YES","LOW",254,1975,6.72705177088108,"endo",10,"A10_P1",187,1783,"(1.97e+03,1.98e+03]","(62.4,1.23e+04]","(99,254]",187,0.414744021632932,"Animalia","Chordata","Aves","Anseriformes","Anatidae","Birds",23,NA,NA,0.165217391304348,165.217391304348,3800,-0.604955675367068,0.620300303,"No",-0.854482305695652,0.165217391304348,1.019699697
"MaxDispersalDistance","Zenaida macroura",4.8,"Zenaida","North","Terrestrial","Latitudinal","Centroid",1.15,NA,1.019699697,"km/year",10.95786,0.16097585847532,"ABUND","MULT","COARSE","YES","LOW",254,1975,6.72705177088108,"endo",10,"A10_P1",208,1981,"(1.97e+03,1.98e+03]","(62.4,1.23e+04]","(99,254]",208,0.0211683361382218,"Animalia","Chordata","Aves","Columbiformes","Columbidae","Birds",31.33333333,NA,NA,0.153191489377999,153.191489377999,4800,-0.998531360861778,0.130300303,"No",-0.866508207622001,0.153191489377999,1.019699697
