"Code","Species","MaxDispersalDistanceKm","Genus","Hemisphere","Ecosystem","Gradient","Position","ShiftR","EleVeloT","LatVeloT","Unit","BaselineT","HFI","PrAb","Sampling","Grain","Signif","Quality","Ntaxa","Start","Area","LifeForm","Reference","Source","n_cl","n_sp","StartF","AreaF","NtaxaF","IDn","corrected_shift","scientificName","kingdom","phylum","class","order","family","ObservationTypeGeneral","Group"
"MaxDispersalDistance","Actitis macularia",147,"Actitis","North","Terrestrial","Latitudinal","Leading edge",1.92,NA,1.019699697,"km/year",10.95786,0.16097585847532,"ABUND","MULT","COARSE","YES","LOW",254,1975,6.72705177088108,"endo",10,"A10_P1",66,2447,"(1.97e+03,1.98e+03]","(62.4,1.23e+04]","(99,254]",66,0.076099018877363,"Actitis macularius","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","movement study","Birds"
"MaxDispersalDistance","Picoides borealis",90,"Picoides","North","Terrestrial","Latitudinal","Centroid",-4.82,NA,1.019699697,"km/year",10.95786,0.16097585847532,"ABUND","MULT","COARSE","YES","LOW",254,1975,6.72705177088108,"endo",10,"A10_P1",72,2209,"(1.97e+03,1.98e+03]","(62.4,1.23e+04]","(99,254]",72,-2.07050930359142,"Leuconotopicus borealis","Animalia","Chordata","Aves","Piciformes","Picidae","natal dispersal","Birds"
"MaxDispersalDistance","Picoides borealis",90,"Picoides","North","Terrestrial","Latitudinal","Centroid",-4.82,NA,1.019699697,"km/year",10.95786,0.16097585847532,"ABUND","MULT","COARSE","YES","LOW",254,1975,6.72705177088108,"endo",10,"A10_P1",72,2209,"(1.97e+03,1.98e+03]","(62.4,1.23e+04]","(99,254]",72,-2.07050930359142,"Leuconotopicus borealis","Animalia","Chordata","Aves","Piciformes","Picidae","movement study","Birds"
"MaxDispersalDistance","Molothrus ater",40,"Molothrus","North","Terrestrial","Latitudinal","Centroid",-9.32,NA,1.019699697,"km/year",10.95786,0.16097585847532,"ABUND","MULT","COARSE","YES","LOW",254,1975,6.72705177088108,"endo",10,"A10_P1",102,1833,"(1.97e+03,1.98e+03]","(62.4,1.23e+04]","(99,254]",102,-2.96038094347383,"Molothrus ater","Animalia","Chordata","Aves","Passeriformes","Icteridae","natal dispersal","Birds"
"MaxDispersalDistance","Molothrus ater",40,"Molothrus","North","Terrestrial","Latitudinal","Centroid",-9.32,NA,1.019699697,"km/year",10.95786,0.16097585847532,"ABUND","MULT","COARSE","YES","LOW",254,1975,6.72705177088108,"endo",10,"A10_P1",102,1833,"(1.97e+03,1.98e+03]","(62.4,1.23e+04]","(99,254]",102,-2.96038094347383,"Molothrus ater","Animalia","Chordata","Aves","Passeriformes","Icteridae","movement study","Birds"
"MaxDispersalDistance","Gymnorhinus cyanocephalus",640,"Gymnorhinus","North","Terrestrial","Latitudinal","Centroid",-2.81,NA,1.019699697,"km/year",10.95786,0.16097585847532,"ABUND","MULT","COARSE","YES","LOW",254,1975,6.72705177088108,"endo",10,"A10_P1",110,1801,"(1.97e+03,1.98e+03]","(62.4,1.23e+04]","(99,254]",110,-0.5438184645505,"Gymnorhinus cyanocephalus","Animalia","Chordata","Aves","Passeriformes","Corvidae","natal dispersal","Birds"
"MaxDispersalDistance","Gymnorhinus cyanocephalus",640,"Gymnorhinus","North","Terrestrial","Latitudinal","Centroid",-2.81,NA,1.019699697,"km/year",10.95786,0.16097585847532,"ABUND","MULT","COARSE","YES","LOW",254,1975,6.72705177088108,"endo",10,"A10_P1",110,1801,"(1.97e+03,1.98e+03]","(62.4,1.23e+04]","(99,254]",110,-0.5438184645505,"Gymnorhinus cyanocephalus","Animalia","Chordata","Aves","Passeriformes","Corvidae","movement study","Birds"
"MaxDispersalDistance","Troglodytes troglodytes",38.3,"Troglodytes","North","Terrestrial","Latitudinal","Centroid",1.8,NA,1.019699697,"km/year",10.95786,0.16097585847532,"ABUND","MULT","COARSE","YES","LOW",254,1975,6.72705177088108,"endo",10,"A10_P1",114,1789,"(1.97e+03,1.98e+03]","(62.4,1.23e+04]","(99,254]",114,0.300041412233787,"Troglodytes troglodytes","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","movement study","Birds"
"MaxDispersalDistance","Toxostoma curvirostre",30,"Toxostoma","North","Terrestrial","Latitudinal","Centroid",3.91,NA,1.019699697,"km/year",10.95786,0.16097585847532,"ABUND","MULT","COARSE","YES","LOW",254,1975,6.72705177088108,"endo",10,"A10_P1",130,2511,"(1.97e+03,1.98e+03]","(62.4,1.23e+04]","(99,254]",130,1.1001528232485,"Toxostoma curvirostre","Animalia","Chordata","Aves","Passeriformes","Mimidae","natal dispersal","Birds"
"MaxDispersalDistance","Toxostoma curvirostre",30,"Toxostoma","North","Terrestrial","Latitudinal","Centroid",3.91,NA,1.019699697,"km/year",10.95786,0.16097585847532,"ABUND","MULT","COARSE","YES","LOW",254,1975,6.72705177088108,"endo",10,"A10_P1",130,2511,"(1.97e+03,1.98e+03]","(62.4,1.23e+04]","(99,254]",130,1.1001528232485,"Toxostoma curvirostre","Animalia","Chordata","Aves","Passeriformes","Mimidae","movement study","Birds"
