"SpeciesChecked","Taxa","LifeSpan","Database","Field","Unit","phylum","class","order","family","genus","species"
"Melospiza melodia","Melospiza melodia","12","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Passerellidae","Melospiza","Melospiza melodia"
"Passerculus sandwichensis","Passerculus sandwichensis","6.916666667","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Passerellidae","Passerculus","Passerculus sandwichensis"
"Zonotrichia leucophrys","Zonotrichia leucophrys","13.34","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Passerellidae","Zonotrichia","Zonotrichia leucophrys"
"Acanthis flammea","Acanthis flammea","25","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Fringillidae","Acanthis","Acanthis flammea"
"Carduelis carduelis","Carduelis carduelis","27","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Fringillidae","Carduelis","Carduelis carduelis"
"Chloris chloris","Chloris chloris","13.58333333","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Fringillidae","Chloris","Chloris chloris"
"Fringilla coelebs","Fringilla coelebs","29","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Fringillidae","Fringilla","Fringilla coelebs"
"Linaria cannabina","Linaria cannabina","9.417","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Fringillidae","Linaria","Linaria cannabina"
"Pyrrhula pyrrhula","Pyrrhula pyrrhula","17.5","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Fringillidae","Pyrrhula","Pyrrhula pyrrhula"
"Delichon urbicum","Delichon urbicum","15","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Hirundinidae","Delichon","Delichon urbicum"
"Hirundo rustica","Hirundo rustica","16","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Hirundinidae","Hirundo","Hirundo rustica"
"Petrochelidon fulva","Petrochelidon fulva","24","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Hirundinidae","Petrochelidon","Petrochelidon fulva"
